math_score,reading score,writing score,placement score,club join year,placement offer count
64,91,77,84,2020,2
63,85,63,90,2019,3
69,87,78,92,2019,3
69,90,78,96,2019,3
70,79,60,92,2019,3
78,85,62,84,2019,2
73,83,76,85,2019,3
66,88,62,82,2019,2
69,91,70,83,2021,2
71,75,78,88,2018,3
74,80,60,84,2018,2
63,78,62,79,2018,2
79,93,72,75,2018,2
75,91,70,79,2021,2
77,83,77,95,2019,3
78,77,62,82,2021,2
73,85,79,86,2019,3
63,92,71,84,2021,2
76,87,76,84,2020,2
66,84,70,85,2020,3
73,88,64,75,2021,2
65,81,70,83,2019,2
76,81,71,81,2021,2
76,82,66,88,2018,3
62,95,73,84,2020,2
71,83,74,78,2019,2
70,88,66,89,2020,3
66,92,77,99,2019,3
69,84,69,78,2020,2
64,94,60,95,2021,3
